Год_выпуска,Жанр,Название,Режиссёр,Страна
1949,"романтическая комедия, фэнтези",Кавардак (фильм),"Ральф Томас, [en]",Великобритания
1898,фильм ужасов,Кавалерский сон,Эдвин Стэнтон Портер,США
1933,драма,Кавалькада (фильм),Фрэнк Ллойд,США
2018,"драма, военный",Кавалерия (фильм),Николай Фульси,США
1967,комедия,"Кавказская пленница, или Новые приключения Шурика",Леонид Гайдай,СССР
1936,"военный фильм, ,, драма, ,, мелодрама","Кавалерия (фильм, 1936)",Гоффредо Алессандрини,Италия
1959,"вестерн, военный, приключенческий",Кавалеристы (фильм),Джон Форд,США
1950,драма,Кавалер Золотой Звезды,Юлий Райзман,СССР
2006,"боевик, /, триллер, /, приключенческий, /, роуд-муви",Кабульский экспресс,"Кабир Хан, [d]",Индия
1980,"драма, приключенческий фильм, мелодрама",Кабобланко,Джей Ли Томпсон,
1914,эпический фильм,Кабирия,Джованни Пастроне,Королевство Италия
1897,фильм ужасов,Кабинет Мефистофеля,Жорж Мельес,Франция
1920,"триллер, фильм ужасов",Кабинет доктора Калигари,Роберт Вине,Германия
1991,"биографическая, драма, ,, исторический фильм",Кабеса де Вака (фильм),"Николас Эчеваррия, ru, en",Мексика
1924,"фильм ужасов, ,, драма",Кабинет восковых фигур (фильм),Пауль Лени,Германия
1996,"чёрная комедия, драма, триллер",Кабельщик,Бен Стиллер,США
1984,фильм ужасов,Кабан-секач,Расселл Малкэхи,Австралия
1991,"приключенческий фильм, драма",К2: Предельная высота,Фрэнк Роддам,
1999,"боевик, комедия, криминальный фильм",К-911. Собачья работа,Чарльз Канганис,США
1972,"мелодрама, мюзикл",Кабаре (фильм),Боб Фосс,США
2002,комедия,К-9 III: Частные детективы,Ричард Льюис,США
2002,"драма, исторический фильм, фильм-катастрофа",К-19 (фильм),Кэтрин Бигелоу,
1989,комедия,К-9 (фильм),Род Дэниэл,США
2009,документальный,К югу от границы,Оливер Стоун,США
2003,комедия,К чёрту любовь!,Пейтон Рид,США
1953,,К чёрту добродетель,Жан Лавирон,Франция
2012,"драма, мелодрама",К чуду,Терренс Малик,США
"1 января, 2016, и, 22 сентября, 2016, [1], [2]","драматический фильм, комедийный фильм",К чёрту на рога (фильм),Дженнаро Нунцианте,Италия
1957,Кинокомедия,К Чёрному морю,Андрей Тутышкин,СССР
2010,драма,К чему-то прекрасному,Лиза Лангсет,Швеция
"10 февраля, 2023",романтическая комедия,К тебе или ко мне?,"Брош Маккенна, Алин",США
2021,"фильм-триллер, комедийный фильм",К счастью,БенДэвид Грабински,США
"17 июля, 1959, [1], ,, 18 декабря, 1959, [2], ,, 17 сентября, 1959, ,, 1 июля, 1959, [1], ,, 6 августа, 1959, [1], ,, 11 сентября, 1959, [1], и, 1959","приключенческо, шпионский, комедийный, триллер",К северу через северо-запад,Альфред Хичкок,США
1986—1987,детектив,К расследованию приступить,Андрей Бенкендорф,СССР
1950,драма,К радости (фильм),Ингмар Бергман,Швеция
2004,"драма, /, мелодрама",К чему помыслы о любви?,Ахим фон Боррис,Германия
1973,"детский, мюзикл",К нам приехала ярмарка,Вера Пливова-Шимкова,Чехословакия
1955,"драма, экранизация, исторический фильм",К новому берегу,Леонид Луков,СССР
1952,"Фильм нуар, Шпионский фильм",К востоку на Бикон,Альфред Л. Веркер,США
1980,"драма, ,, мелодрама",К кому залетел певчий кенар,Вадим Зобин,СССР
1955,трагикомедия,К лучшему,Джон Пэдди Карстэйрс,Великобритания
1925,мелодрама,К востоку от Суэца,Рауль Уолш,США
1955,драма,К востоку от рая (фильм),Элиа Казан,США
"18 сентября, 2019, ,, 20 сентября, 2019, [3], ,, 19 сентября, 2019, [4], и, 29 августа, 2019","фантастика, триллер, драма, приключения",К звёздам (фильм),Джеймс Грэй,США
2004,мелодрама,К вам пришёл ангел,Николай Глинский,Россия
2000,"бадди-муви, комедийный фильм",К бою готовы,"Брайан Роббинс, [1], [2], […]",США
2002,драма,Йосси и Джаггер,Эйтан Фокс,Израиль
2011,"драма, военный",Йозеф (фильм),Станислав Томич,Хорватия
1976,драма,"Йонас, которому будет 25 лет в 2000 году",Ален Таннер,
"7 февраля, 2009, [1], и, 2 апреля, 2009, [2]",,Йон Рабе (фильм),"Флориан Галленбергер, [3], [4], […]",
,,Йорген + Анна = правда,"Анне Севитски, [1], [2], […]",Норвегия
1986,драма,Йя-Хха,Рашид Нугманов,СССР
2016,Комедия ужасов,Йоганутые,Кевин Смит,США
1970,"фантастика, ,, приключения",Йог: Монстр из космоса,Исиро Хонда,Япония
1981,"приключенческий фильм, драма, фэнтези",Йо-хо-хо,Зако Хеския,Болгария
2007,"драма, мистический, триллер",Йелла (фильм),Кристиан Петцольд,Германия
2008,драма,Йерихов (фильм),Кристиан Петцольд,Германия
1983 (США),"мелодрама, /, мюзикл",Йентл,Барбра Стрейзанд,США
2002,"драма, ,, триллер",Июньский змей,Синъя Цукамото,Япония
1969,"драматический фильм, [1]","Июнь, начало лета",Раймондас Вабалас,
2005,драма,Июньский жук (фильм),,США
1973,драма,Ищу человека,Михаил Богин,СССР
1966,драма,Июльский дождь,Марлен Хуциев,СССР
1974,,Ищу мою судьбу,Аида Манасарова,СССР
2012,"драма, комедия, мелодрама, фантастика",Ищу друга на конец света,Лорин Скафария,США
1987,мелодрама,Ищу друга жизни,Михаил Ершов,СССР
1969,"киноповесть, мелодрама",Ищите и найдёте,Борис Романов,СССР
1999,драма,"Ищите женщину (фильм, 1999)",Кифер Сазерленд,США
1970,Художественный фильм,Ищите девушку,Гасан Сеидбейли,СССР
1978,,Ищи ветра…,Владимир Любомудров,СССР
1989,"комедия, драма, мелодрама",Ищейки с Бродвея,Говард Брукнер,США
1982,комедия,"Ищите женщину (фильм, 1982)",Алла Сурикова,СССР
1987,"кинокомедия, приключенческий фильм, музыкальный фильм",Иштар (фильм),Элейн Мэй,США
1996,,Их поменяли телами,Меган Симпсон Хуберман,Австралия
1966,военный фильм,Их знали только в лицо,Антон Тимонишин,СССР
2020,Ужасы,Иччи (фильм),Костас Марсаан,
1977,мелодрама,Их двое,"Марта Месарош, [1]",
1992,комедия,Их собственная лига,Пенни Маршалл,США
1933,"драма, ,, экранизация",Иудушка Головлёв (фильм),Александр Ивановский,СССР
1977,,Ифигения (фильм),Михалис Какояннис,
1951,драма,"Их было пятеро (фильм, 1951)",Жак Пиното,Франция
2021,биографический фильм,Иуда и чёрный мессия,Шака Кинг,США
2004,драма,Итан Мао,Квентин Ли,
1895,документальный фильм,Итальянский крестьянский танец,Макс Складановский,Германия
1993,,Итальянский контракт,Владимир Чеботарёв,Россия
1970,порнофильм,Итальянский жеребец (фильм),Мортон Льюис,США
2020,"комедия, , мелодрама",Итальянские каникулы (фильм),Массимо Венье,Италия
2000,"комедия, мелодрама, драма",Итальянский для начинающих,Лоне Шерфиг,Дания
1996,"комедия, мелодрама",Итальянские любовники,,США
2016,драма,Итальянская гонщица (фильм),Маттео Ровере,Италия
1964,"военный, ,, комедия",Итальянец в Варшаве,Станислав Ленартович,Польша
1967,комедийный фильм,Итальянец в Америке,"Альберто Сорди, [1], [2]",Италия
2010,"комедия, драма","Итальянец (фильм, 2010)",Оливье Барру,Франция
2005,драма,"Итальянец (фильм, 2005)",Андрей Кравчук,Россия
2021,"триллер, драма, детектив",Исчезнувший,"Кристиан Карион, [d]",
2014,комедийный фильм,Итало Барокко,Алессия Скарсо,Италия
1915,драма,"Итальянец (фильм, 1915)","Реджинальд Баркер, ru, en",США
"2008, /, 2012",драма,Исчезнувшая империя,Карен Шахназаров,Россия
1938,драма,"Исчезнувшие из Сент-Ажиля (фильм, 1938)",Кристиан-Жак,Франция
"2013, 2014","драма, ,, мелодрама",Исчезновение Элеанор Ригби,Нед Бенсон,США
2017,драма,Исчезновение Сидни Холла,Шон Кристенсен,США
1942,фильм ужасов,Исчезновение трупа,Уоллес Фокс,США
2014,"детективный, триллер",Исчезнувшая,Дэвид Финчер,США
2009,"триллер, криминальный фильм",Исчезновение Элис Крид,Дж. Блэйксон,Великобритания
2010,"ужасы, ,, триллер, ,, детектив",Исчезновение на 7-й улице,Брэд Андерсон,США
1953,,Исчезновение молодой леди,Эдит Карлмар,Норвегия
,"фильм ужасов, ,, триллер","Исчезновение (фильм, 2002)","Уолтер Кленхард, ru, en",США
1896,немое кино,Исчезновение дамы в театре Робер-Удена,Жорж Мельес,Франция
,"исторический фильм, драма","Исчезновение (фильм, 2024)",Кирилл Серебренников,
,"фильм-триллер, [1]","Исчезновение (фильм, 2006)","Майкл Суитцер, [d]","США, [1]"
2019,триллер,"Исчезновение (фильм, 2019)",Кристоффер Нюхольм,Великобритания
1993,триллер,"Исчезновение (фильм, 1993)",Джордж Слёйзер,США
1988,триллер,"Исчезновение (фильм, 1988)",Георг Слёйзер,
1977,,"Исчезновение (фильм, 1978)",Вениамин Дорман,СССР
1912,"комедия, /, короткометражка",Исцеление игрока в покер,Лоуренс Тримбл,США
1971,"роуд-муви, драма",Исчезающая точка (фильм),Ричард Сарафьян,США
1997,"j-horror, мистика, психологический триллер",Исцеление (фильм),Киёси Куросава,Япония
2011,"фантастика, триллер, драма",Исходный код (фильм),Данкан Джонс,
2011,"комедия, /, фэнтези",Исходное положение (фильм),,Франция
1960,,"Исход (фильм, 1960)",Отто Премингер,США
1968,Героико-приключенческий фильм,"Исход (фильм, 1968)",,
2014,"пеплум, драма",Исход: Цари и боги,Ридли Скотт,
1939,"киноповесть, военная драма",Истребители (фильм),Эдуард Пенцлин,СССР
1953,комедия-драма,Источник молодости (фильм),Набуо Накагава,Япония
2014,"Комедия, ,, мелодрама","Истребители (фильм, 2014)",Тома Кайе,Франция
1962,мелодрама,Источники Акицу,Ёсисигэ Ёсида,Япония
,приключенческий фильм,Источник вечной молодости (фильм),Гай Ричи,США
2011,"драма, комедия","Источник (фильм, 2011)",Раду Михайляну,
1956,драма,"Источник (фильм, 1956)",Масаки Кобаяси,Япония
2003,"триллер, ,, фантастика, ,, ужасы, .",Истребитель драконов,"Филлип Дж. Рот, (англ.), (, рус.",США
1970,драма,"История, рассказанная после Токийской войны",Нагиса Осима,Япония
2013,драма,Источник (телесериал),Ксавье Дюрринжер,Франция
1957,драма,История Эстер Костелло,Дэвид Миллер,Великобритания
1949,Драма,"Источник (фильм, 1949)",Кинг Видор,США
2009,драма,История Элли,Асгар Фархади,Иран
2005,"Ужасы, Мистика",История Хэккеля,Джон Макноутон,США
1907,"немое кино, драматический фильм",История цивилизации,Жорж Мельес,Франция
1981,"драма, криминал",История Хо Вьета,Энн Хёй,Гонконг
1987,драма,История Хатико,Сэйдзиро Кояма,Япония
2003,"драма, мелодрама, комедия",История Уэнделла,,
2015,"драма, ,, исторический фильм",История сумасшедшего,Робер Гедигян,Франция
1971,историческая драма,История Тиин,Ли Ханьсян,Китайская Республика
2009,подростковый фильм,История странного подростка,Реджина Кросби,США
"22 мая, 1983, [1]","биографический фильм, драматический фильм, фильм о лёгкой атлетике, [d]",История Терри Фокса,"Ральф Л. Томас, [d]",
1989,"драма, фантастика",История служанки (фильм),Фолькер Шлёндорф,
2020,"драматический фильм, экранизация книги, [d]",История семьи Блум,"Глендин Айвин, [d]",
1984,"детективная, драма",История солдата (фильм),Норман Джуисон,США
1981,"триллер, ,, фильм ужасов",История с привидениями (фильм),Джон Ирвин,США
2001,драма,История с ожерельем,Чарльз Шайер,США
2006,драма,История Рона Кларка,Рэнда Хейнс,
2001,"приключения, ,, мелодрама",История рыцаря,Брайан Хелгеленд,США
1991,Комедия,История с ограблением,"Ричард Шепард, [en]",США
1951,драма,История родного города (фильм),Артур Пирсон,США
1979,"боевик, комедия",История пьяного мастера,,Гонконг
1983,драма,История Пьеры,Марко Феррери,
1989,"драма, фильм-биография",История Райана Уайта,Джон Герцфельд,США
1997,комедия,"История про Ричарда, Милорда и прекрасную Жар-птицу",Нино Ахвледиани,Россия
2017,"фэнтезийная, драма, мистика, [1]",История призрака,Дэвид Лоури,США
1999,"драма, кинокомедия",История плохого мальчика,Том Донахи,США
2000,"биографический, ,, драма",История Одри Хепбёрн,Стивен Робман,США
2013,,История одной старушки,Алексей Горлов,Казахстан
1942,мелодрама,"История одной любви (фильм, 1942)",Марио Камерини,Италия
1981,"мелодрама, экранизация","История одной любви (фильм, 1981)",Артур Войтецкий,СССР
2004,Романтическая комедия,История Золушки,Марк Росман,
1904,драма,"История одной любви (фильм, 1904)",,Франция
1959,короткометражный фильм,История золотой рыбки,"Эдмон Сешан, [en]",Франция
1973,"криминальная драма, pinky violence, боевик",История женщины-якудза,Тэруо Исии,Япония
1960,драма,История жестокой юности,Нагиса Осима,Япония
1980,"фильм-биография, драма",История Джейн Мэнсфилд,Дик Лоури,США
1975,порнофильм,История Джоанны,"Джерард Дамиано, [1]",США
2019,комедийная драма,История Дэвида Копперфилда,Армандо Ианнуччи,
1988,"псевдодокументальный фильм, [1]",История Дирка Дигглера,Пол Томас Андерсон,США
2014,"драма, ,, семейный",История дельфина 2,Чарльз Мартин Смит,США
2003,"ужасы, драма, триллер, мистика, [1]","История двух сестёр (фильм, 2003)",Ким Чжи Ун,Республика Корея
2011,"драма, семейный",История дельфина,Чарльз Мартин Смит,США
1921,"драматический фильм, немое кино",История двух миров,Фрэнк Ллойд,США
1998,"драма, комедия, мелодрама",История вечной любви,Энди Теннант,США
1959,мелодрама,История влюблённых в Нанива,Тому Утида,Япония
1939,"мелодрама, ,, мюзикл",История Вернона и Айрин Касл (фильм),Г.К. Поттер,США
1975,"исторический фильм, ,, драма, , психологический, мелодрама",История греха,Валериан Боровик,Польша
1998,,История Брэндона Тины,,США
1952,нуар,История в Лас-Вегасе,Роберт Стивенсон,США
1990,,История болезни (фильм),Алексей Праздников,СССР
1958,"нуар, ,, биография",История Бонни Паркер,Уильям Уитни,США
1978,биография,История Бадди Холли,Стив Раш,США
1955,Фильм нуар,История в Феникс-сити,Фил Карлсон,США
1967,драма,"История Аси Клячиной, которая любила, да не вышла замуж",Андрей Кончаловский,СССР
2002,"мелодрама, ,, биографический фильм, Саундтрек",История Антуана Фишера,Дензел Вашингтон,США
,документальный,История американского кино от Мартина Скорсезе,,
1975,"историко, биографическая, драма",История Адели Г.,Франсуа Трюффо,Франция
1955,документальный фильм,Исторический день,Владимир Ешурин,
1962,фильм ужасов,Истории ужаса,Роджер Корман,США
2017,трагикомедия,Истории семьи Майровиц,Ной Баумбах,США
2014,"драматический фильм, ЛГБТ-фильм, [d]",Истории наших жизней,"Jim Chuchu, [d], [1]",Кения
2017,фильм ужасов,Истории призраков,,Великобритания
2001,"документальный фильм, музыкальный фильм",Истории на супер 8,Эмир Кустурица,
1973,"драма, ,, исторический фильм",Истоки (фильм),Иван Лукинский,СССР
2006,драматический фильм,Истинный цвет,Джордж Галло,США
1998,драма,"Истинные ценности (фильм, 1998, США)",Карл Франклин,
1998,драма,"Истинные ценности (фильм, 1998, Индия)",,Индия
2000,комедия,Истинные происшествия,Мурад Ибрагимбеков,Россия
1978,"мелодрама, музыкальный фильм","Истина, любовь и красота",Радж Капур,Индия
1999,"драма, ,, комедия",Истина в вине,Отар Иоселиани,
2002,драма,Истерическая слепота,Мира Наир,США
2010,документальный,Истина в цифрах: Рассказ о Википедии,"Ник Хилл, [en]",США
1960,драма,Истина (фильм),Анри-Жорж Клузо,
2018,"ужасы, триллер",Истерия (фильм),Дэннис Илиадис,США
1917,"драма, мелодрама",Истерзанные души (фильм),Владимир Касьянов,Россия
1999,драма,Истекающий кровью,Николас Виндинг Рефн,Дания
1987,"комедия, ,, фэнтези","Иствикские ведьмы (фильм, 1987)",Джордж Миллер,США
2012,социальная драма,Истальгия,Дарья Онищенко,
1978,драма,"Испытательный срок (фильм, 1978)",Улу Гросбард,США
1931,драматический фильм,Ист Линн (фильм),"Фрэнк Ллойд, [1]",США
1960,,"Испытательный срок (фильм, 1960)",Владимир Герасимов,СССР
2008,документальный,Исследуемая жизнь (фильм),Астра Тейлор,Канада
1977,драма,Испытание человека,Дзюнъя Сато,Япония
1972,триллер,Исступление,Альфред Хичкок,Великобритания
1954,мелодрама,Испытание верности,Иван Пырьев,СССР
2011,романтическая кинокомедия,Испытание свадьбой,Салим Акил,США
2004,"драматический фильм, [1], [2], […], ЛГБТ-фильм, [d], экранизация романа, [d], фильм-тайна, романтический фильм",Испытание любовью,"Роджер Мичелл, [1], [3], […]",
2008,драма,"Испытание (фильм, 2008)",Марк Брокау,США
1991,"комедия, семейный фильм, фэнтези",Испуганный глупец Эрнест,Джон Черри,США
1959,детектив,Исправленному верить,Виктор Жилин,СССР
1962,драма,Исполнитель обета,Ансельму Дуарте,Бразилия
1973,Мелодрама,Исполняющий обязанности (фильм),Ирина Поволоцкая,СССР
1942,пропагандистский фильм,Исполнение служебного долга,Льюис Сейлер,США
1957,"сатирическая, кинокомедия",Испортит ли успех Рока Хантера?,Фрэнк Тэшлин,США
1963,фильм-драма,Испорченная девчонка,Кириро Ураяма,Япония
1974,социальная драма,Исполнение желаний (фильм),Светлана Дружинина,СССР
1988,документальный,Исповедь. Хроника отчуждения,Георгий Гаврилов,СССР
1992,,Исповедь чокнутого,Жером Буавен,Франция
1962,приключенческий фильм,Исповедь курильщика опиума,"Альберт Загсмит, ru, en",США
1992,"мелодрама, криминальный фильм",Исповедь содержанки,Борис Григорьев,
1992,фантастика,Исповедь невидимки,Джон Карпентер,США
2012,"боевик, ,, драма",Исповедь убийцы,Чон Пён Гиль,Республика Корея
1974,,Исповедь девушки,Кнуд Лейф Томсен,Дания
1994,гангстерский фильм,Исповедь наёмного убийцы,Ларри Лихи,США
2021,драматический фильм,"Исповедь (фильм, 2021)",Фрэн Кранц,США
1999,драма,"Исповедь (фильм, 1999)",Дэвид Хью Джонс,США
1962,,"Исповедь (фильм, 1962)",Всеволод Воронин,СССР
2002,"комедия, ,, драма",Испанка (фильм),Седрик Клапиш,
"7 октября, 1923","романтический фильм, немое кино",Испанская танцовщица,Герберт Бренон,США
2005,"короткометражное кино, драма",Исповедь (короткометражный фильм),Эш Барон-Коэн,США
2004,"комедия, /, мелодрама",Испанский английский,Джеймс Л. Брукс,США
1980,"военный фильм, драма",Испанский вариант (фильм),Эрик Лацис,СССР
1971,драма,Испанки в Париже,Роберто Бодегас,Испания
1934,драма,Исмет,Микаил Микаилов,СССР
2006,документальный,Ислам: что необходимо знать Западу,,США
30 Август 2018,"фильм, Драма",Ислам-ходжа (фильм),Джахонгир Ахмедов,Узбекистан
2009,нуар,Искушение святого Тыну,Вейко Ыунпуу,
1985,,Искушение Дон-Жуана,,СССР
1990,"драма, фантастика, фантасмагория",Искушение Б.,Аркадий Сиренко,СССР
1948,мелодрама,"Искушение (фильм, 1948)",Кодзабуро Ёсимура,Япония
1946,"Фильм нуар, Мелодрама","Искушение (фильм, 1946)",Ирвинг Пичел,США
2021,"ЛГБТ-фильм, [d], драматический фильм, эротический фильм","Искушение (фильм, 2021)",Пол Верховен,
2007,драма,"Искушение (фильм, 2007)",Сергей Ашкенази,Россия
1978,"боевик, ,, драма",Искусство Шаолиня. Змея и журавль,Чэнь Чжихуа,
2019,"фильм о боевых искусствах, чёрная комедия, триллер, криминал",Искусство самообороны,Райли Стернс,США
2023,"чёрно, комедийный триллер",Искусство по понятиям,Николь Паон,США
"23 сентября, 2004, [1]",,Искусство падения,Томаш Багиньский,Польша
"7 сентября, 2019, и, 16 апреля, 2020, [1]","криминальный триллер, [d], экранизация романа, [d]",Искусство ограбления,"Джузеппе Капотонди, [d]",
2005,романтическая комедия,"Искусство обольщения (фильм, 2005)","О Ги Хван, [1]",Республика Корея
2011,романтическая кинокомедия,Искусство любить (фильм),Эмманюэль Муре,Франция
1989,трагикомедия,Искусство жить в Одессе,Георгий Юнгвальд-Хилькевич,СССР
1984,драма,Искусство и любовь,Садао Накадзима,Япония
2020,"ЛГБТ-фильм, [d], документальный фильм",Искусство греха,"Ibrahim Mursal, [d]",
2000,боевик,Искусство войны (фильм),Кристиан Дюгей,
2009,документальный,Искусство воровства,Дон Аротт,США
2008,"боевик, /, триллер",Искусство войны 2: Предательство,Джозеф Руснак,Канада
2012,драма,Искусственный рай (фильм),Маркус Прадо,Бразилия
2001,"научная фантастика, драма, экранизация, научно-фантастический фильм, [37], [38], […], экранизация литературного произведения, [d], постапокалиптический фильм, драматический фильм",Искусственный разум (фильм),Стивен Спилберг,США
2016,"триллер, драма",Искусственный интеллект. Доступ неограничен,Джон Мур,США
2020,"Романтическая комедия, боевик",Искусственный интеллект (фильм),Бен Фальконе,США
1985,трагикомедия,Искренне Ваш…,Алла Сурикова,СССР
2012,"военный фильм, драма","Искупление (фильм, 2012)",Александр Прошкин,Россия
1988,"ужасы, мистика",Искуситель,Рафал Зелински,США
1978,,Искупление чужих грехов,Валерьян Пидпалый,СССР
1939,фильм-драма,"Искренность (фильм, 1939)",Микио Нарусэ,Япония
1991,драма,"Искренне, безумно, сильно",Энтони Мингелла,Великобритания
1986,сатира,Исключения без правил,,СССР
"12 сентября, 2016, и, 14 июля, 2017","драматический фильм, романтический фильм",Исключение (фильм),"Дэвид Лево, [d]",Великобритания
1917,комедия,Искатель приключений,Чарли Чаплин,США
2014,"Драма, Исторический фильм",Искатель воды,Рассел Кроу,
2012,"приключения, комедия","Искатели приключений (фильм, 2012)",Максим Воронков,Россия
1967,приключенческий фильм,Искатели приключений,Робер Энрико,
2012,"фильм ужасов, псевдодокументальный фильм, триллер",Искатели могил 2,Джон Поликуин,
2011,"фильм ужасов, псевдодокументалка, найденная плёнка",Искатели могил,"Братья Вишес, [en]",Канада
"7 октября, 1936, [1]",комедийный фильм,Искатели счастья,,СССР
1922,драма,Искатель женских сердец,,Венгрия
1956,"мелодрама, киноповесть","Искатели (фильм, 1956, СССР)",Михаил Шапиро,СССР
1987,триллер,Искажения (фильм),Арманд Мастроянни,США
2015,"драма, детектив",Иррациональный человек,Вуди Аллен,США
2007,"комедия, мелодрама",Ирония судьбы. Продолжение,Тимур Бекмамбетов,Россия
2010,"драма, ,, детектив","Ирландец (фильм, 2010)",Джонатан Хенсли,США
,"мелодрама, трагикомедия","Ирония судьбы, или С лёгким паром!",Эльдар Рязанов,СССР
2022,романтическая комедия,Ирония судьбы в Голливуде,Марюс Вайсберг,США
2010,комедия,Ирония любви,Александр Черняев,
"13 марта, 1956, [1], и, 1956",вестерн,Искатели (вестерн),Джон Форд,США
1972,джалло,Ирис в крови,Джулиано Карминео,Италия
2007,драма,Ирина Палм сделает это лучше,"Сэм Гарбарски, (фр.), (, рус., [1]",
1946,,Ирис и лейтенант,Альф Шёберг,Швеция
1915,"драма, мелодрама",Ирина Кирсанова,Евгений Бауэр,Российская империя
1955,"комедия, ,, мелодрама","Ирена, домой!",Ян Фетке,Польша
1959-1988,документальный фильм,Ираклий Андроников. Слово Андроникова,,СССР
1979,детектив,Ипподром (фильм),Радомир Василевский,СССР
2013,"боевик, биографический фильм, исторический фильм",Ип Ман: Последняя схватка,Херман Яу,Гонконг
2015,"боевик, биографический фильм, исторический фильм",Ип Ман 3,"Уилсон Ип, [en]",Гонконг
2010,"боевик, биографический фильм, исторический фильм",Ип Ман 2,"Вилсон Ип, [en]",
2019,"боевик, биографический фильм, исторический фильм, драма",Ип Ман 4: Финал,"Уилсон Ип, ru, en",Гонконг
2008,"боевик, драма, биография, история",Ип Ман (фильм),Уилсон Ип,
1984,"драма, −, притча, короткометражный","Иона, или Художник за работой (фильм)",Александр Кайдановский,СССР
1987,драма,Иона (фильм),Валериу Жереги,СССР
1963,,Иоланта (фильм-опера),Владимир Гориккер,СССР
,"приключенческий фильм, фильм-биография, драма, исторический фильм",Иосиф (фильм),Роджер Янг,
1965,комедия,Иные нынче времена (фильм),Михаил Чиаурели,СССР
2018,"научная фантастика, триллер, драма, детектив","Иные (фильм, 2018)",,
1982,военная драма,Инчхон (фильм),Теренс Янг,США
1988,"триллер, шпионский детектив",Интрига (фильм),Дэвид Друри,США
1967,"социальная, драма, ,, неонуар, ,, триллер","Инцидент, или Случай в метро",Ларри Пирс,США
2009,Документальное кино,Интонация (фильм),Александр Сокуров,Россия
2017,"Семейный, Документальный",Интратеррестр,Александр и Николь Гратовски,
2003,"драма, ,, мелодрама",Интимный словарь (фильм),Гай Дженкин,США
"1959, и, 18 декабря, 1959, [1]",романтическая комедия,Интимный разговор (фильм),,США
2001,"драма, мелодрама, эротика",Интим (фильм),Патрис Шеро,
1978,драма,Интерьеры,Вуди Аллен,США
2013,документалистика,Интерьер. Кожаный бар.,Джеймс Франко,США
"12 февраля, 2009, [2], и, 2009","детектив /, драма, / боевик",Интернэшнл,Том Тыквер,
2014,"научная фантастика, приключения, драма, Электронная, ,, классика",Интерстеллар,Кристофер Нолан,
2014,биография,Интернет-мальчик: История Аарона Шварца,"Брайан Кнаппенбергер, (англ.), (, рус.",США
1989,"драма, мелодрама",Интердевочка (фильм),Пётр Тодоровский,
2018,"драма, детектив",Интервью с Богом,Перри Лэнг,США
1939,мелодрама,Интермеццо (фильм),Грегори Ратофф,США
,"документальный, фильм-интервью",Интервью с Путиным,Оливер Стоун,США
1994,"драма, фильм о вампирах",Интервью с вампиром (фильм),Нил Джордан,США
"24 декабря, 2014, [4], и, 5 февраля, 2015, [5]","Комедия, ,, боевик, ,, сатира, ,, бадди-муви, Саундтрек","Интервью (фильм, 2014)",,США
2002,мокьюментари,Интервью с убийцей,"Нил Бёргер, [1]",США
1968,"Мюзикл, буффонада",Интервенция (фильм),Геннадий Полока,СССР
2001,триллер,Интакто,Хуан Карлос Фреснадильо,Испания
2013,комедия-драма,Инструкции не прилагаются,Эухенио Дербес,
1979,"боевик, драма",Инструктор кунг-фу,"Сюнь Чун, [zh]",Гонконг
1995,драма,Институт Бенжамента,Братья Куай,
1984,драма,Институт бабушек,Марина Ишимбаева,СССР
2003,"криминальный фильм, драма","Инстинкт убийцы (фильм, 2003)",Питер Вернер,США
2001,боевик,"Инстинкт убийцы (фильм, 2001)",Густаво Грэф-Марино,США
2015,фильм ужасов,Институт Аттикус,Крис Спарлинг,США
1999,драма,Инстинкт (фильм),Джон Тёртелтауб,США
2004,Драма,Инсталл,"Катаока Кэй, [ja]",Япония
1980,комедия,Инспектор-разиня,Клод Зиди,Франция
1971,Детективный фильм,Инспектор уголовного розыска,Суламифь Цыбульник,СССР
1982,Детектив,Инспектор Лосев,Олег Гойда,СССР
1968,"детективная, комедия",Инспектор Клузо (фильм),Бад Йоркин,
1986,Детективный фильм,Инспектор Лаварден,Клод Шаброль,
1959,криминальная комедия,Инспекция пана Анатоля,Ян Рыбковский,Польша
1963,"детективный фильм, ,, драма",Инспектор и ночь,Рангел Вылчанов,Болгария
1979,"Психологическая, драма",Инспектор Гулл,Александр Прошкин,СССР
2016,"Драма, Хоррор",Инсомния (короткометражный фильм),Тимур Искаков,Кыргызстан
1982,драма,Инспектор ГАИ (фильм),Эльдор Уразбаев,СССР
1999,"Супергеройский фильм, ,, комедия",Инспектор Гаджет (фильм),Дэвид Келлогг,США
2015,драма,"Инсайт (фильм, 2015)",Александр Котт,Россия
2005,боевик,Иностранец 2: Чёрный рассвет,"Александр Грушинский, (англ.), (, рус.",США
2017,"боевик, триллер","Иностранец (фильм, 2017)",Мартин Кэмпбелл,
1965,комедия,Иностранка (фильм),,СССР
2002,"боевик, комедия, семейный фильм, мелодрама, детектив, супергероика",Инспектор Гаджет 2,"Алекс Замм, [d]",США
2012,"комедия, /, мелодрама","Иностранец (фильм, 2012)",Ники Илиев,Болгария
2003,"боевик, ,, триллер","Иностранец (фильм, 2003)",Майкл Обловитц,США
1988,научная фантастика,Инопланетянка из Лос-Анджелеса,Элберт Пайан,США
1984,"фантастическая, комедия",Инопланетянка (фильм),Яков Сегель,СССР
